accession,genus,species,date,elevation,collector,latitude,longitude,,
V45885,Phleum,alpinum,1940 Jul 01,6000 ft,J. William Thompson,47.2,-120.6,Verbatim from Collector/Sheet,anthers
V225280,Bromus,carinatus,2003 Jun 25,681 m,Jeffery M. Saarela,47.219,-120.6993,Verbatim from Collector/Sheet,anthers
V123636,Glyceria,striata,1963 Jun 25,,V. Gerardin,47.4,-69.3,Verbatim from Collector/Sheet,anthers
V136870,Leymus,mollis,1971 Jun 27,,C.E. Garton,47.5,-84.8,Verbatim from Collector/Sheet,anthers
V243747,Eragrostis,minor,2013 Aug 23,682 m,Richard R. Halse,47.7009,-116.8027,Verbatim from Collector/Sheet,anthers
V241198,Elymus,trachycaulus,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,anthers
V241199,Elymus,trachycaulus,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,no anthers
V241200,Elymus,trachycaulus,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,anthers
V241201,Elymus,trachycaulus,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,no anthers
V241202,Elymus,trachycaulus,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,anthers
V241205,Bromus,inermis,2009 Jul 24,580 m,Curtis R. Bjork,47.77,-117.253,Verbatim from Collector/Sheet,anthers
V136671,Bromus,inermis,1971 Jul 06,,C.E. Garton,47.9,-84.9,Verbatim from Collector/Sheet,anthers
V241217,Glyceria,elata,2009 Jul 24,1450 m,Curtis R. Bjork,47.923,-117.1,Verbatim from Collector/Sheet,anthers
V81637,Festuca,rubra,1955 Jul 14,,Sheila Buchanan,48,-123,Verbatim from Collector/Sheet,anthers
V136746,Deschampsia,caespitosa,1971 Jul 20,,C.E. Garton,48,-84.9,Verbatim from Collector/Sheet,anthers
V82985,Elymus,glaucus,1959 Jul 18,,T.R. Ashlee,48,-123,Verbatim from Collector/Sheet,no anthers
V143127,Phalaris,arundinacea,1972 Jul 23,,Lionel Cinq-Mars,48.05,-65.48,Verbatim from Collector/Sheet,anthers
V213381,Agrostis,stolonifera,1991 Jul 31,,Adolf Ceska,48.07,-119.5,Verbatim from Collector/Sheet,anthers
V136867,Dactylis,glomerata,1971 Jul 09,,C.E. Garton,48.1,-84.6,Verbatim from Collector/Sheet,anthers
V123643,Glyceria,grandis,1963 Aug 02,,V. Gerardin,48.1,-65.3,Verbatim from Collector/Sheet,anthers
V228855,Elymus,glaucus,1987 Aug 31,2250 m,Adolf Ceska,48.15,-117.91,Verbatim from Collector/Sheet,anthers
V173954,Alopecurus,aequalis,1980 Jun 30,,C.E. Garton,48.2,-89.6,Verbatim from Collector/Sheet,anthers
V173850,Glyceria,grandis,1980 Jul 15,,C.E. Garton,48.2,-89.5,Verbatim from Collector/Sheet,anthers
V173950,Muhlenbergia,mexicana,1980 Aug 18,,C.E. Garton,48.2,-89.6,Verbatim from Collector/Sheet,anthers
